feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:206.1008:35.71	1182141.17847971
MET:FEATURE:positive:261.1444:33.90	1089688.99033714
MET:FEATURE:positive:137.6099:35.36	1072223.23902879
MET:FEATURE:positive:424.1798:36.10	1112365.88843005
MET:FEATURE:positive:481.2472:32.48	13554022.0540428
MET:FEATURE:positive:159.0917:36.54	346303.146427449
MET:FEATURE:positive:244.0231:37.37	2038191.36667015
MET:FEATURE:positive:245.0248:37.81	183378.839816437
MET:FEATURE:positive:330.2277:38.17	178404.839173472
MET:FEATURE:positive:379.1636:37.99	165986.186327952
MET:FEATURE:positive:538.1959:36.10	12309274.8954677
MET:FEATURE:positive:235.1367:37.81	322219.630602056
MET:FEATURE:positive:466.9903:38.17	361738.905280374
MET:FEATURE:positive:185.1285:36.10	871488.362225397
MET:FEATURE:positive:239.0889:37.81	542134.032286147
MET:FEATURE:positive:243.0871:39.50	378824.561559197
MET:FEATURE:positive:292.9419:39.25	147166.833136382
MET:FEATURE:positive:167.0896:33.47	5396799.06924818
MET:FEATURE:positive:196.0969:32.73	1773670.42917085
MET:FEATURE:positive:229.1547:35.36	828361.147165432
MET:FEATURE:positive:340.9023:27.90	4553970.2204256
MET:FEATURE:positive:147.1128:32.29	19140937.691494
MET:FEATURE:positive:156.0767:29.33	26583528.0914718
MET:FEATURE:positive:306.1908:39.25	148021.062158188
MET:FEATURE:positive:338.9238:39.93	216135.467747752
MET:FEATURE:positive:173.1285:33.29	1552273.68021789
MET:FEATURE:positive:236.9849:39.93	133217.772040729
MET:FEATURE:positive:131.1624:34.54	2825433.23912142
MET:FEATURE:positive:474.9554:40.57	103865.146282235
MET:FEATURE:positive:124.0592:27.90	8383367.94366638
MET:FEATURE:positive:178.0420:40.82	208027.894106786
MET:FEATURE:positive:278.1596:39.93	972437.935736409
MET:FEATURE:positive:376.9883:40.82	166138.271503567
MET:FEATURE:positive:408.1709:39.50	838413.020543831
MET:FEATURE:positive:449.9835:35.71	3819743.13046352
MET:FEATURE:positive:125.0152:41.40	81017.4525802979
MET:FEATURE:positive:336.1663:39.93	6792934.10590213
MET:FEATURE:positive:141.0098:41.65	399911.533279482
MET:FEATURE:positive:150.0549:41.40	4638064.46390634
MET:FEATURE:positive:169.0971:35.36	9513847.25128925
MET:FEATURE:positive:190.9794:35.71	2249275.70744245
MET:FEATURE:positive:316.2117:34.86	6748845.03415308
MET:FEATURE:positive:316.9514:40.57	514645.443098598
MET:FEATURE:positive:337.1696:39.93	2129241.20458503
MET:FEATURE:positive:401.0390:36.10	6110637.68282329
MET:FEATURE:positive:179.0636:42.38	374189.437307362
MET:FEATURE:positive:267.9966:42.56	158067.854541429
MET:FEATURE:positive:269.1606:42.38	2078303.28128389
MET:FEATURE:positive:350.1821:42.56	203583.584235124
MET:FEATURE:positive:175.1189:32.48	132934228.173976
MET:FEATURE:positive:288.2028:42.81	362732.49242192
MET:FEATURE:positive:198.9947:42.56	328969.183146051
MET:FEATURE:positive:248.0002:42.56	491613.974059651
MET:FEATURE:positive:255.0972:26.97	741685124.173215
MET:FEATURE:positive:300.1651:42.38	569629.217776186
MET:FEATURE:positive:349.1789:42.56	1263691.88294969
MET:FEATURE:positive:604.9245:42.81	574079.008505604
MET:FEATURE:positive:224.0472:40.57	849596.501515344
MET:FEATURE:positive:224.0470:34.54	834255.883544618
MET:FEATURE:positive:288.0245:42.38	1717787.99234376
MET:FEATURE:positive:424.1800:43.06	881656.111471136
