gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
YHR177W	ROF1	Rof1p	15.608156	9.646431	7.82528750417168	0.1977086236259483	0.17835578262888993	0.03259647808167853	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR178W	STB5	Stb5p	35.049541	32.375185	22.556103373566167	0.37745781080662644	0.365381638024462	0.18321468714874484	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR179W	OYE2	NADPH dehydrogenase	231.137722	398.63093	143.85115402897773	0.8803220312741911	0.930020126954637	0.7823154739602848	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR180W	YHR180W	uncharacterized protein	29.381402	40.056215		0.31367084688032204	0.4368323269856015		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR181W	SVP26	Svp26p	60.649615	109.965097	86.95942912300733	0.5787273571760334	0.7623471125561232	0.6571749718995878	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR182W	RGD3	Rgd3p	12.260941	16.715571	15.641405158917689	0.18067812354853693	0.22278990555813594	0.1004121393780442	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR183W	GND1	phosphogluconate dehydrogenase (decarboxylating) GND1	1192.200667	1389.814422	502.9466095001307	0.9809568044588945	0.983743613562471	0.939865118021731	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR184W	SSP1	Ssp1p	1.486595	0.0	15.36400301472353	0.11317541415079733	0.06758012076172783	0.09741476208317722	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR185C	PFS1	Pfs1p	0.0	0.0	5.499505459588148	0.052562316148010525	0.06758012076172783	0.02098164106406894	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR186C	KOG1	ubiquitin-binding TORC1 subunit KOG1	34.020571	46.380881	11.64144352100238	0.3663105743923208	0.49202662950921194	0.06350693143499438	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR187W	IKI1	Elongator subunit IKI1	42.973786	35.318383	62.126671353153846	0.44976002477163646	0.39115962223254375	0.5498313975271637	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR188C	GPI16	GPI-anchor transamidase subunit GPI16	121.07842	98.556209	68.2442723315832	0.7782938535376993	0.7372658306239356	0.5826152116897715	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR189W	PTH1	aminoacyl-tRNA hydrolase	22.260009	11.464606	19.579391165025864	0.2467874283944883	0.1877999690354544	0.14687148744848258	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR190W	ERG9	bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase	274.526775	278.023139	214.50542980240783	0.89921040408732	0.9009134540950612	0.850693143499438	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR191C	CTF8	Ctf8p	52.881365	81.706708	54.42047939861106	0.529184084223564	0.6815296485524075	0.5056200824278756	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR192W	LNP1	Lnp1p	62.987582	66.712502	91.81611623928886	0.5920421117820096	0.6180523300820561	0.6686024728362683	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR193C	EGD2	Egd2p	843.853631	594.357936	655.5096250374238	0.9710481498684007	0.9546369407028952	0.9544773323342076	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR194W	MDM31	Mdm31p	34.208773	16.98936	37.07425232239596	0.3684006812200031	0.22511224647778294	0.35312851255151745	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR195W	NVJ1	Nvj1p	57.21698	61.203906	91.45916688228114	0.5589100479950456	0.5898745935903391	0.6676657924316224	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR196W	UTP9	Utp9p	69.384758	41.817947	26.7814458578902	0.6234711255612324	0.4530113020591423	0.23623079805170477	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR197W	RIX1	Rix1p	31.906013	31.527667	15.357584945067163	0.3399907106363214	0.356092274345874	0.09685275384038966	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
