reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
THRD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HEX4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_gal_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NMNAT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_xyl__D_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
KARA1	-0.7185529938313197	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HMPK1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
KARA2	0.2387561318586128	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_duri_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_for_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_gly_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_h2_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_lys__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACCOAC	0.06396053317416103	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NADK	0.0003673436763286608	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLXCL	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ICHORS_copy2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SUCBZS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DHBD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ICHORT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ser__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_thm_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_trp__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLUTRR	0.002932175027179835	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLCS1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLCP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_din_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBK_L1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBP4E	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TARTD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTD2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLCRAL	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTD4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTD5	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_fmn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_gthox_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
KAS14	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HEMEOS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ADMDC	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
AGMT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTD6	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
LGTHL	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PYDXPP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PDXPP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ARGDC	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HACD6	0.22850584623248782	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ECOAH1	0.29246144861904705	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ECOAH2	0.29246144861904716	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ARGSS	0.24308125438328984	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
AGPR	-0.24308125438328984	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SPMS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G1SAT	0.002932175027179836	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
KDOCT2	0.03197780119327965	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ECOAH3	0.29246144861904716	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UGLT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDTXS1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DXPS	0.0023297971417726372	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
OAADC	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MNNH	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CDPMEK	0.001963275263375157	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDTXS2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALTRH	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MECDPS	0.001963275263375157	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GUI1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDTXS3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PGAMT	-0.07765004315251355	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DDGLK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDTXS4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
XYLI2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PMANM	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ICL	-3.1910052296341264e-16	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UAGDP	0.07765004315251356	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UAGCVT	0.022836120979616955	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLUR	-0.022836120979616955	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_tmao_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UAG2E	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_acald_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLYCL	0.04454843328496516	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
